prioridad_proyecto_o_grupo,orden_publicacion,grupo,codigo,medios_publicacion,texto_caracteres,criterio,url
5,11,Alegoría de la Aurora,B1rkrxtlNRX,1,80,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/reel/B1rkrxtlNRX/
5,12,Alegoría de la Aurora,B15s1fli0AV,4,793,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B15s1fli0AV/
5,13,Alegoría de la Aurora,B15tNlXCSL7,7,1649,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B15tNlXCSL7/
6,14,Virgen de la Leche,CGhPnQFj9Pv,7,1774,Buena comparación y explicación del soporte; cuatro documentos propios y tres referencias iconográficas.,https://www.instagram.com/moreto_restauracion/p/CGhPnQFj9Pv/
7,15,Guirnalda con San Juan Evangelista,CbFjWUWKX_S,3,739,"Muy fuerte en color, ya protagonista del hero; solo tres imágenes y un tratamiento breve.",https://www.instagram.com/moreto_restauracion/p/CbFjWUWKX_S/
8,16,El Cid parte al destierro,CY015pbjnBi,4,1600,"Gran obra y daños bien documentados; cinco archivos, trabajo presentado en curso.",https://www.instagram.com/moreto_restauracion/p/CY015pbjnBi/
8,17,El Cid parte al destierro,CbZkskVjtue,1,194,"Gran obra y daños bien documentados; cinco archivos, trabajo presentado en curso.",https://www.instagram.com/moreto_restauracion/p/CbZkskVjtue/
9,18,Cristo muerto en la Cruz,CCF3huFjJ_C,3,1601,Seis documentos de estabilización y limpieza; buenas comparaciones y explicación extensa.,https://www.instagram.com/moreto_restauracion/p/CCF3huFjJ_C/
9,19,Cristo muerto en la Cruz,CBfPVnFDKQC,3,997,Seis documentos de estabilización y limpieza; buenas comparaciones y explicación extensa.,https://www.instagram.com/moreto_restauracion/p/CBfPVnFDKQC/
10,20,Arcángel San Miguel,CIocEuTjTvv,3,1094,"Tres imágenes, detalle y resultado; intervención limitada a limpieza de barnices.",https://www.instagram.com/moreto_restauracion/p/CIocEuTjTvv/
11,21,"Viejo y joven, Valentín de Zubiaurre",CE6609pDyhg,4,1386,"Color e identidad muy fuertes; cuatro documentos, parte del texto es biografía.",https://www.instagram.com/moreto_restauracion/p/CE6609pDyhg/
12,22,"Vendedora de flores, Wssel de Guimbard",B6QsNBJilDt,4,648,Cuatro vistas y transformación legible; formato pequeño con buena presencia.,https://www.instagram.com/moreto_restauracion/p/B6QsNBJilDt/
13,23,Arcángel San Rafael,Cb8IjyHD99i,2,1582,Antes/después contundente y criterio claro; solo dos imágenes.,https://www.instagram.com/moreto_restauracion/p/Cb8IjyHD99i/
14,24,Retrato de hombre sobre papel fotográfico,CiHhxW7j5Tt,3,1080,"Caso material singular, tres imágenes y tratamiento claro; menor impacto cromático.",https://www.instagram.com/moreto_restauracion/p/CiHhxW7j5Tt/
15,25,"Retrato de niño, Ricardo Balaca",CBOGTUyDKiR,3,584,"Tres imágenes de buen retrato; historia atractiva, tratamiento breve.",https://www.instagram.com/moreto_restauracion/p/CBOGTUyDKiR/
16,26,Retrato de niño anónimo,CTfZqL_DOvh,2,684,Daño y resultado claros; solo dos imágenes.,https://www.instagram.com/moreto_restauracion/p/CTfZqL_DOvh/
17,27,Inmaculada Concepción y retirada de repinte,CEL9SM_DliU,3,1663,Buen relato de limpieza y repinte; relación temática sin fusionar obras no identificadas como la misma.,https://www.instagram.com/moreto_restauracion/p/CEL9SM_DliU/
17,28,Inmaculada Concepción y retirada de repinte,CDT27_FDlP6,2,1860,Buen relato de limpieza y repinte; relación temática sin fusionar obras no identificadas como la misma.,https://www.instagram.com/moreto_restauracion/p/CDT27_FDlP6/
18,29,Niño de la familia real de Francia,CKeWEcQD9eo,2,1251,Dos comparativas y texto; identificación prudente e imagen pequeña.,https://www.instagram.com/moreto_restauracion/p/CKeWEcQD9eo/
19,30,Estribaciones de Igueldo,B5afsE4q_5m,3,819,"Tres documentos, paisaje atractivo y comparación; menos variedad de tratamiento.",https://www.instagram.com/moreto_restauracion/p/B5afsE4q_5m/
20,31,Paisaje de Enrique Serra,CLthKAnjnO9,3,1248,"Tres imágenes; buen cambio de lectura, parte del relato histórico necesita revisión.",https://www.instagram.com/moreto_restauracion/p/CLthKAnjnO9/
21,32,Copia de la Guadalupana,Bxzq-xNiJXw,4,580,Cuatro documentos y pérdidas extensas; interesante criterio de reconstrucción.,https://www.instagram.com/moreto_restauracion/p/Bxzq-xNiJXw/
22,33,Paisaje y consolidación,BxkOsx8CTpf,2,547,"Buen conjunto de paisaje y proceso; vínculo visual revisado, atribución solo donde se nombra.",https://www.instagram.com/moreto_restauracion/p/BxkOsx8CTpf/
22,34,Paisaje y consolidación,BxkOrPjiJsA,5,180,"Buen conjunto de paisaje y proceso; vínculo visual revisado, atribución solo donde se nombra.",https://www.instagram.com/moreto_restauracion/p/BxkOrPjiJsA/
23,35,Paisaje anónimo español,CBBiWT8jcby,5,186,"Cinco imágenes propias, pero explicación técnica muy breve.",https://www.instagram.com/moreto_restauracion/p/CBBiWT8jcby/
24,36,"Retrato de señora, Gonzalo Bilbao",Cbuvs9dq4tP,1,518,Buen retrato y texto; una sola comparativa.,https://www.instagram.com/moreto_restauracion/p/Cbuvs9dq4tP/
25,37,Santiago en Clavijo,CUIHAQkjtJg,1,1391,Contexto histórico amplio pero solo una comparativa.,https://www.instagram.com/moreto_restauracion/p/CUIHAQkjtJg/
26,38,Bodegón con sandía,CDV2zpNjUuK,7,785,"Siete archivos, de los que cuatro son referencias ajenas; tratamiento apenas explicado.",https://www.instagram.com/moreto_restauracion/p/CDV2zpNjUuK/
27,39,La Huida a Egipto,CAvZbNYDLKG,1,689,Autor y contexto interesantes; solo una comparativa.,https://www.instagram.com/moreto_restauracion/p/CAvZbNYDLKG/
28,40,Paisaje de Montenegro Capel,CAPabSfj3Og,1,1135,Relato y tres alteraciones; solo una imagen.,https://www.instagram.com/moreto_restauracion/p/CAPabSfj3Og/
29,41,Cristo recogiendo la túnica,Bz_A1CCiFiU,2,1343,"Conjunto, detalle de limpieza y examen UV; lectura útil pero menos inmediata.",https://www.instagram.com/moreto_restauracion/p/Bz_A1CCiFiU/
29,42,Cristo recogiendo la túnica,Bz_DXfqloI8,1,63,"Conjunto, detalle de limpieza y examen UV; lectura útil pero menos inmediata.",https://www.instagram.com/moreto_restauracion/reel/Bz_DXfqloI8/
29,43,Cristo recogiendo la túnica,Bv3UVRDA09V,3,533,"Conjunto, detalle de limpieza y examen UV; lectura útil pero menos inmediata.",https://www.instagram.com/moreto_restauracion/p/Bv3UVRDA09V/
30,44,"Retrato de señor, Raimundo de Madrazo",CCVwTpGj22z,2,1839,Buen contenido de proceso y vídeo; no tiene vista final completa para portada.,https://www.instagram.com/moreto_restauracion/p/CCVwTpGj22z/
31,45,Restauración de marco,CJED39bDFIq,5,1873,Cinco documentos y cambios visibles; tema complementario.,https://www.instagram.com/moreto_restauracion/p/CJED39bDFIq/
32,46,Soporte y reintegración,B76SYE5iAMb,2,1702,Proceso y comparación; obra de menor identificación editorial.,https://www.instagram.com/moreto_restauracion/p/B76SYE5iAMb/
32,47,Soporte y reintegración,B76SZO5CzcZ,1,68,Proceso y comparación; obra de menor identificación editorial.,https://www.instagram.com/moreto_restauracion/reel/B76SZO5CzcZ/
33,48,Salvador,CFhaqlvDJg5,3,1671,"Comparativa atractiva, dos imágenes de referencia externas; tratamiento menos desarrollado.",https://www.instagram.com/moreto_restauracion/p/CFhaqlvDJg5/
34,49,Retrato femenino de cuerpo entero,BvbjYJKn8O3,4,0,Cuatro imágenes y detalle de proceso; sin texto del estudio.,https://www.instagram.com/moreto_restauracion/p/BvbjYJKn8O3/
35,50,Virgen con Niño,Bsil7asBw57,4,0,"Cuatro documentos visuales, daños e intervención; sin texto.",https://www.instagram.com/moreto_restauracion/p/Bsil7asBw57/
36,51,Dolorosa sin ficha,Bu3mI6eHfoB,5,0,Cuatro imágenes propias y una referencia; sin texto.,https://www.instagram.com/moreto_restauracion/p/Bu3mI6eHfoB/
37,52,Pintura de historia sin ficha,BvbZqoSnbJY,5,0,"Cinco imágenes; buena riqueza visual, sin texto ni identificación confirmada.",https://www.instagram.com/moreto_restauracion/p/BvbZqoSnbJY/
38,53,Escena arquitectónica,BvbYco0H5DC,4,63,Cuatro documentos; solo una frase del proceso.,https://www.instagram.com/moreto_restauracion/p/BvbYco0H5DC/
39,54,Retrato femenino,BsG2aEhBh0u,3,0,Tres estados muy legibles; sin texto.,https://www.instagram.com/moreto_restauracion/p/BsG2aEhBh0u/
40,55,"Paisaje, secuencia de intervención",BtQaVnoHA9l,4,0,Ocho archivos en dos publicaciones; sin texto.,https://www.instagram.com/moreto_restauracion/p/BtQaVnoHA9l/
40,56,"Paisaje, secuencia de intervención",BtQaFr9HBdO,4,0,Ocho archivos en dos publicaciones; sin texto.,https://www.instagram.com/moreto_restauracion/p/BtQaFr9HBdO/
41,57,Paisaje con figuras,BtIvpMEhs_V,2,0,Dos imágenes; sin texto.,https://www.instagram.com/moreto_restauracion/p/BtIvpMEhs_V/
42,58,Paisaje arbolado,BvMKrBSHeeO,2,0,Dos imágenes; sin texto.,https://www.instagram.com/moreto_restauracion/p/BvMKrBSHeeO/
43,59,Arcángel y Lucifer,Bvet3qCn1x6,2,103,"Dos fotografías; identificación breve, proceso no explicado.",https://www.instagram.com/moreto_restauracion/p/Bvet3qCn1x6/
44,60,Anima beata / anima dannata,BveuRkjn5f-,4,27,Cuatro detalles atractivos; explicación mínima.,https://www.instagram.com/moreto_restauracion/p/BveuRkjn5f-/
45,61,Estofados y encarnaciones,Bvev5L2ntP3,4,257,Buen material técnico; funciona mejor como capítulo de proceso que como ficha principal.,https://www.instagram.com/moreto_restauracion/p/Bvev5L2ntP3/
45,62,Estofados y encarnaciones,B83QbGaKTqE,2,959,Buen material técnico; funciona mejor como capítulo de proceso que como ficha principal.,https://www.instagram.com/moreto_restauracion/p/B83QbGaKTqE/
45,63,Estofados y encarnaciones,B9ha5dQDa5i,1,868,Buen material técnico; funciona mejor como capítulo de proceso que como ficha principal.,https://www.instagram.com/moreto_restauracion/p/B9ha5dQDa5i/
46,64,Reintegración y limpieza de rostros,CIysj5Hj5X0,1,938,Detalles llamativos; sin vista general para tarjeta.,https://www.instagram.com/moreto_restauracion/p/CIysj5Hj5X0/
46,65,Reintegración y limpieza de rostros,Bu3k5xdHga5,1,0,Detalles llamativos; sin vista general para tarjeta.,https://www.instagram.com/moreto_restauracion/reel/Bu3k5xdHga5/
47,66,Pasmado del barniz,CQL9b-wK3bQ,1,1178,"Vídeo y explicación técnica; complemento de proceso, no pieza principal.",https://www.instagram.com/moreto_restauracion/reel/CQL9b-wK3bQ/
48,67,Capas pictóricas,B2jGmodD8Ap,2,1446,"Dos documentos de proceso, sin conjunto completo.",https://www.instagram.com/moreto_restauracion/p/B2jGmodD8Ap/
49,68,Carcoma,CKWGazXjErD,5,2087,"Explicación y cinco imágenes; varias son referencias biológicas, no obra restaurada.",https://www.instagram.com/moreto_restauracion/p/CKWGazXjErD/
50,69,Daños por agua,BxkOuvUid6b,2,134,Dos detalles y una frase.,https://www.instagram.com/moreto_restauracion/p/BxkOuvUid6b/
51,70,Roturas del lienzo,BvlkQ0qnqZ8,2,145,Dos detalles; documentación limitada.,https://www.instagram.com/moreto_restauracion/p/BvlkQ0qnqZ8/
52,71,Craquelado y soporte,Bv_4ybuAxNY,9,721,Contenido didáctico; fragmentos de obras y no un proyecto único.,https://www.instagram.com/moreto_restauracion/p/Bv_4ybuAxNY/
52,72,Craquelado y soporte,Bv_44BGA1wL,1,67,Contenido didáctico; fragmentos de obras y no un proyecto único.,https://www.instagram.com/moreto_restauracion/p/Bv_44BGA1wL/
52,73,Craquelado y soporte,Bv_5Gj1gQ_j,3,375,Contenido didáctico; fragmentos de obras y no un proyecto único.,https://www.instagram.com/moreto_restauracion/p/Bv_5Gj1gQ_j/
52,74,Craquelado y soporte,Bv_5tG0gNu_,2,194,Contenido didáctico; fragmentos de obras y no un proyecto único.,https://www.instagram.com/moreto_restauracion/p/Bv_5tG0gNu_/
53,75,Barnices y aplicación,BxJ7XJlh0Me,2,385,Contenido técnico complementario.,https://www.instagram.com/moreto_restauracion/p/BxJ7XJlh0Me/
53,76,Barnices y aplicación,BxJ7OF0Bldb,2,531,Contenido técnico complementario.,https://www.instagram.com/moreto_restauracion/p/BxJ7OF0Bldb/
53,77,Barnices y aplicación,B7B6r79C0Se,1,761,Contenido técnico complementario.,https://www.instagram.com/moreto_restauracion/reel/B7B6r79C0Se/
54,78,Limpieza,B6z9_qiitsC,1,790,Detalle de proceso; poca fuerza como pieza de catálogo.,https://www.instagram.com/moreto_restauracion/reel/B6z9_qiitsC/
55,79,Barniz y paisaje,BymoaONCfNb,3,2112,Debate técnico; una publicación sin texto y una cita externa entre los medios.,https://www.instagram.com/moreto_restauracion/p/BymoaONCfNb/
55,80,Barniz y paisaje,BymoY4eCcU9,3,0,Debate técnico; una publicación sin texto y una cita externa entre los medios.,https://www.instagram.com/moreto_restauracion/p/BymoY4eCcU9/
56,81,Otros detalles de tratamiento,Bvbe6aTHtIN,2,36,Documentación visual breve o sin texto; insuficiente para una ficha destacada.,https://www.instagram.com/moreto_restauracion/p/Bvbe6aTHtIN/
56,82,Otros detalles de tratamiento,BvbdvC4nKfd,4,0,Documentación visual breve o sin texto; insuficiente para una ficha destacada.,https://www.instagram.com/moreto_restauracion/p/BvbdvC4nKfd/
56,83,Otros detalles de tratamiento,BvbZOqZFfkP,1,0,Documentación visual breve o sin texto; insuficiente para una ficha destacada.,https://www.instagram.com/moreto_restauracion/reel/BvbZOqZFfkP/
56,84,Otros detalles de tratamiento,BvRpPsllPSp,1,0,Documentación visual breve o sin texto; insuficiente para una ficha destacada.,https://www.instagram.com/moreto_restauracion/reel/BvRpPsllPSp/
56,85,Otros detalles de tratamiento,BtRfCrQlYQp,1,0,Documentación visual breve o sin texto; insuficiente para una ficha destacada.,https://www.instagram.com/moreto_restauracion/reel/BtRfCrQlYQp/
57,86,Obras recibidas en el taller,BvzJwHOgYFJ,2,177,Estado de llegada; no acredita resultado.,https://www.instagram.com/moreto_restauracion/p/BvzJwHOgYFJ/
58,87,Marcos y ornamentación,Bsik0Aah-3o,3,0,Imágenes sin contexto suficiente.,https://www.instagram.com/moreto_restauracion/p/Bsik0Aah-3o/
58,88,Marcos y ornamentación,BvbihLOHMG2,1,0,Imágenes sin contexto suficiente.,https://www.instagram.com/moreto_restauracion/p/BvbihLOHMG2/
59,89,Personas trabajando,BvbdLkWHByg,1,0,Documentación del taller; identidad no confirmada para sustituir el retrato de Antonio.,https://www.instagram.com/moreto_restauracion/p/BvbdLkWHByg/
59,90,Personas trabajando,BvbnMF1nOpq,1,0,Documentación del taller; identidad no confirmada para sustituir el retrato de Antonio.,https://www.instagram.com/moreto_restauracion/p/BvbnMF1nOpq/
59,91,Personas trabajando,BvbkCqHHh7f,2,37,Documentación del taller; identidad no confirmada para sustituir el retrato de Antonio.,https://www.instagram.com/moreto_restauracion/p/BvbkCqHHh7f/
60,92,Catálogo Rafael Tegeo,B65WAVTiMZu,8,900,"Investigación y publicación, no trabajo de restauración de todas las obras reproducidas.",https://www.instagram.com/moreto_restauracion/p/B65WAVTiMZu/
61,93,Vistas del taller,CYbZ9K4DM0h,1,76,"Contenido de estudio, no proyecto de restauración.",https://www.instagram.com/moreto_restauracion/p/CYbZ9K4DM0h/
61,94,Vistas del taller,B_o6Hz4DHmY,1,53,"Contenido de estudio, no proyecto de restauración.",https://www.instagram.com/moreto_restauracion/p/B_o6Hz4DHmY/
62,95,Copia de El Greco en casa,B-oa3EijrW_,1,340,"Práctica artística, no restauración.",https://www.instagram.com/moreto_restauracion/reel/B-oa3EijrW_/
63,96,Comercios y materiales,CGCl2jGjWkN,2,570,"Contenido contextual, fuera de la selección de proyectos.",https://www.instagram.com/moreto_restauracion/p/CGCl2jGjWkN/
63,97,Comercios y materiales,BvaDh5MHzo9,5,98,"Contenido contextual, fuera de la selección de proyectos.",https://www.instagram.com/moreto_restauracion/p/BvaDh5MHzo9/
63,98,Comercios y materiales,Bu3im2_ny_S,1,286,"Contenido contextual, fuera de la selección de proyectos.",https://www.instagram.com/moreto_restauracion/p/Bu3im2_ny_S/
